GivenOrientation GivenName GivenID,rag response
East Transept Tower,"The material used for the East Transept Tower is Lausanne molasse, a type of sandstone. The tower was built around the 12th century. Currently, the tower shows signs of deterioration, including structural alterations such as patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have targeted the structural stability of the tower, with a focus on the patchy alterations that affect the stone's integrity. Materials used for consolidation and treatment have included IMPERPLEX, PARALOID B72, and ethyl silicates like WACKER OH 100. Restoration efforts have aimed to conserve as many existing stones as possible, with replacements being done only when necessary to ensure the tower's structural integrity. The restoration work has involved analyzing joint compositions, investigating causes of deterioration, and testing various resins for consolidation to extend the tower's life."
East Ambulatory Facade,"The material used for the East Ambulatory Facade is gray Molasse de Lausanne. The current age of the East Ambulatory Facade is not explicitly mentioned in the provided context. The facade is subject to various types of deterioration, including structural alterations such as plaque alterations and superficial alterations like granular disintegration, exfoliation, and crusts. Restauration efforts have targeted both structural and superficial alterations on the molasse of the exterior facades, with treatments using products like IMPERPLEX, PARALOID B72, and ethyl silicates such as WACKER OH 100. The restoration campaigns have focused on preserving as much of the existing material as possible, with specific attention to the conservation of medieval and more recent elements affected by deterioration."
East,"The material used for the East of Lausanne Cathedral is gray Molasse de Lausanne. The current age of the East portion of the cathedral dates back to the Gothic period, specifically around the early 13th century. The current state of the East facade includes various types of deterioration, such as structural deterioration in the form of slab conservation issues due to the stone becoming brittle and losing cohesion over time. Restoration efforts have targeted specific deteriorations, focusing on cleaning surfaces of dust and friable materials, addressing stained areas and crusts, and treating biological colonization. Various treatment products have been used, including hydrogen peroxide and biocides. The restoration work has been ongoing over several years, with scientific support aimed at better understanding the characteristics of the stone and adapting treatments accordingly."
South Aisle Buttress,"The material used for the South Aisle Buttress is Aquitanian molasse of Lausanne, known for its fast deterioration when exposed to the elements. The current age of the South Aisle Buttress is not explicitly mentioned in the provided context. The main deterioration phenomena observed on the molasse of the exterior facades of the nave include structural deterioration such as patches and superficial deterioration like patinas, black crusts, and crumbling. The restoration efforts for the South Aisle Buttress have included consolidating the medieval sandstone facings, saving the reconstructed facings and tracery of the rose window, and surface treatments to address the degradation issues specific to molasse, such as its low resistance to water runoff and progressive degradation. The restoration campaigns have involved the use of ethyl silicates for consolidation and have targeted specific deteriorations based on the material's sensitivity to weather conditions."
South Transept Buttress,"The material used for the South Transept Buttress is the Aquitanian molasse of Lausanne. The current age of the South Transept Buttress is not explicitly mentioned in the provided context. The current state of the buttress includes various types of deterioration such as structural deterioration like patches, and superficial deterioration like patinas, black crusts, and crumbling. Restauration efforts have been made over the years, with interventions dating back to the restoration by Viollet-le-Duc and his successor Assinare in the 19th century. The restoration efforts have targeted severe deteriorations affecting the structural stability of certain parts of the structure, with specific attention to patchy alterations. Materials used for consolidation have included IMPERPLEX and PARALOID B72, with later preference for WACKER OH 100 as a reinforcer for the degraded soft sandstone of the exterior surfaces."
East Transept Buttress,"The material used for the East Transept Buttress is gray Molasse de Lausanne. The current age of the East Transept Buttress is not explicitly mentioned in the provided context. The current state and deterioration of the East Transept Buttress include forms of deterioration such as deterioration in patches, granular disintegration, and crusting. Restoration efforts have targeted these deteriorations over time, with interventions adapted to the specificities of the Molasse de Lausanne. The restoration work involved careful observation of alterations caused by natural wear and tear and human wear and tear, understanding the causes of deterioration, and choosing proven solutions to restore them according to best practices. The restoration materials used included white Arvel limestone for reconstruction and restoration of stone facings and structures."
North Aisle Buttress,"The material used for the North Aisle Buttress is Aquitanian molasse of Lausanne. It requires regular maintenance due to its sensitivity to natural wear and tear and pollution. The buttresses, like other parts of the cathedral, have undergone heavy interventions and complete replacements over the centuries. The current state of the buttresses shows structural and superficial deterioration, such as patches, patinas, black crusts, and crumbling. The restoration efforts have included the consolidation of pulverulent or weakened stones with Paraloid B72 and lime mortar flashings to support and prevent water penetration. The restoration targeted specific deterioration issues, such as stabilizing the facades, preventing material loss, and addressing structural stability concerns. The restoration materials used included Paraloid B72 and WACKER OH 100 for stone reinforcement. The restoration efforts have aimed to conserve the original material as much as possible while addressing the specific deterioration observed on the exterior surfaces of the nave and Painted Portal."
North Transept Buttress,"The North Transept Buttress of Lausanne Cathedral was built using molasse, a type of stone that requires regular maintenance due to natural wear and tear. The current age of the buttress is not specified in the provided context. The buttress has undergone various types of deterioration, including patchy deterioration, granular disintegration, exfoliation, and crust formation. Restoration efforts have targeted both structural and superficial alterations. The restoration included in-depth treatment for plaque alterations and surface treatment for granular disintegration, exfoliation, and crusts. The restoration materials used were specific to each type of alteration, with detailed technical information provided in the documentation. The restoration campaigns have been ongoing over the years, with interventions dating back to the 18th century and continuing into the 20th century, with a focus on preserving the historical integrity of the cathedral's facades."
East Apse Buttress,"The material used for the East Apse Buttress is the Aquitanian molasse of Lausanne. The East Apse Buttress was built around the 12th century. Currently, the buttress shows signs of deterioration, including structural deterioration such as patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have been ongoing, with treatments such as consolidation of powdery sculpted facings using products like IMPERPLEX, PARALOID B72, and WACKER OH 100. The restoration work targeted various types of deterioration, including patchy alterations and granular disintegration, with different concentrations of treatment products used based on the severity of the deterioration."
West MonFalcon Portal Portal,"The West MonFalcon Portal was built between 1515 and 1517. The material used for the portal was molasse sandstone. The current state of the portal shows physical alterations, particularly slate weathering, which causes the stone to break down into slabs parallel to the exposed surface. The slabs can vary in thickness and exhibit cracks and blisters. The stone also develops a crumbly zone underneath the slabs with high concentrations of gypsum. Restoration efforts have targeted these structural alterations, with a focus on the physical processes affecting the stone, such as freezing/thawing, presence of water, and salt crystallization. Materials like IMPERPLEX, PARALOID B72, and WACKER OH 100 have been used for consolidation and treatment of the molasse sandstone to address the deterioration observed on the exterior façades of the nave."
South Painted Portal Portal,"The material used for the South Painted Portal of Lausanne Cathedral is gray molasse from Lausanne, a soft sandstone known for its fast deterioration when exposed to the elements. The South Painted Portal dates back to the 13th century. The current state of the portal shows various forms of deterioration, including structural alterations like plaque alterations and superficial alterations like granular disintegration, exfoliation, and crusts. The restoration efforts for the South Painted Portal have targeted these deteriorations over different time periods. The restoration campaigns have focused on preserving the ancient surfaces by allowing slabs to deteriorate, using techniques like cleaning, consolidation, and sealing. Materials such as ethyl silicates and acrylic resin have been used for consolidation, with a preference for WACKER OH 100 for the degraded soft sandstone of the cathedral's exterior surfaces."
South Staircase Tower,"The material used for the South Staircase Tower is Krauchtal stone, selected for its resistance and color that harmonizes well with Lausanne molasse. The tower was built in the 16th century. The current state of the tower includes various types of deterioration such as structural alterations like patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have focused on conserving as many existing stones as possible. The restoration work has involved analyzing the composition of joints, investigating causes of deterioration, and testing various types of resins like epoxy for consolidation. The restoration efforts have targeted the structural stability of certain parts of the tower affected by severe deterioration, particularly the patchy alterations that have led to the loss of large areas of stone. The restoration work has been ongoing, with a focus on using materials like WACKER OH 100 for reinforcement of the degraded soft sandstone surfaces."
South Nave Facade,"The South Nave Facade of Lausanne Cathedral was constructed using Molasse de Lausanne, a type of soft sandstone. It has been exposed for more than 700 years. The facade has experienced various types of deterioration, including granular disintegration, exfoliation, black, greyish, or brownish crusts, and plaque alterations. Restoration efforts have targeted these deteriorations over different time periods. The restoration work included the consolidation of the ambulatory frames, restoration of the lantern tower superstructures, restoration of the rose window stained glass, and protection of the polychrome statuary of the painted portal. Various materials were used for consolidation, such as IMPERPLEX, PARALOID B72, and WACKER OH 100. The restoration campaigns have been ongoing since the 18th century, with cycles of intense work followed by rest periods, leading to maintenance delays."
South Transept Facade,"The material used for the South Transept Facade of Lausanne Cathedral is gray Molasse de Lausanne. The South Transept Facade was built between 1180/90 and 1217/19, shortly after 1200. The current state of the facade shows signs of deterioration, including patchy deterioration, granular disintegration, and crusts. Restoration efforts have targeted various forms of deterioration over time. The restoration campaign aimed to conserve the sculpted elements and approximately 30% of the molasse ashlar, with treatments addressing structural and superficial alterations. The restoration process involved cleaning surfaces of dust and friable materials, addressing stained areas and crusts, and treating biological colonization. Specific techniques and treatment products were used based on the type of deterioration observed."
South Transept Tower,"The material used for the South Transept Tower is Alemannic sandstones, specifically Krauchtal stone and hard sandstone of Neuhaus-Schmerikon. The tower was built around 1170 when the Chapter took control of the building site. The current state of the tower includes various types of deterioration, such as structural alterations like patches and superficial alterations like patinas, black crusts, and crumbling. Restoration efforts have been ongoing, with a major campaign from 1968 to the present day. Different materials have been used for restoration, including IMPERPLEX, PARALOID B72, and WACKER OH 100 for consolidation. The restoration work targeted structural deterioration like patches and superficial deterioration like patinas and black crusts."
East Facade,"The East Facade of Lausanne Cathedral was built using gray Molasse de Lausanne. The current age of the East Facade dates back to the 13th century. The facade has been exposed to various deteriorations over time, including structural alterations such as plaque alterations and superficial alterations like granular disintegration, exfoliation, and crusts. Restoration efforts have targeted different types of deteriorations at various time periods. The materials used for restoration included IMPERPLEX, PARALOID B72, and ethyl silicates like WACKER OH 100. The restoration focused on preserving the material as much as possible and addressing specific deteriorations like patchy alterations, granular disintegration, and black crusts."
East Transept Facade,"The East Transept Facade of Lausanne Cathedral was built between 1180/90 and 1217/19. The current age of this facade is approximately over 800 years. The facade has experienced various types of deterioration, including structural alterations such as patches and superficial deterioration like patinas, black crusts, and crumbling. The deterioration mainly occurs on the facades exposed to water but that can dry quickly. Restauration efforts have targeted these deteriorations, with past treatments using IMPERPLEX and PARALOID B72. Recent consolidation tests have shown a preference for WACKER OH 100 as a reinforcer for the degraded soft sandstone of the exterior surfaces. The restoration efforts have focused on preserving as much of the existing material as possible, especially the medieval elements, and addressing severe deteriorations that affect the structural stability of the facade."
East Apse Facade,"The material used for the East Apse Facade of Lausanne Cathedral is gray Molasse de Lausanne. The current age of the East Apse Facade is from the 13th century. The facade has experienced various types of deterioration, including structural alterations such as patches and superficial alterations like patinas, black crusts, and crumbling. Restoration efforts have targeted these deteriorations through specific treatments. The restoration campaign aimed to conserve the sculpted elements and a significant quantity of molasse ashlar, with approximately 30% dating back to the first third of the 13th century. The restoration efforts included cleaning surfaces of dust and friable materials, treating stained areas and crusts with aluminum oxide or calcite powders, and addressing persistent biological colonization with hydrogen peroxide and biocides. The consolidation methods used included ethyl silicates like WACKER OH 100 for reinforcing the degraded soft sandstone of the cathedral's exterior surfaces."
North,"The material used for the North of Lausanne Cathedral is gray Molasse de Lausanne. The cathedral was built around 1225, and the current age of the North section corresponds to the 13th century. The material has been exposed for more than 700 years. The deterioration of the gray Molasse de Lausanne is mainly due to driving rain, wind, and sun exposure, leading to structural deterioration and loss of cohesion in the stone. Restoration efforts have targeted deteriorations such as surface cleaning, removal of dust and friable materials, consolidation of powdery sculpted facings, and treatment of biological colonization. Various treatment products have been used, including hydrogen peroxide and quaternary ammonium-based biocide. The restoration campaigns have focused on preserving the deteriorated slabs with limited surface area and ensuring their stability without mechanical anchoring. The cathedral has undergone restoration efforts over the years, with specific attention to addressing the structural deterioration caused by exposure to environmental elements."
North Transept Tower,"The material used for the North Transept Tower is Lausanne molasse, a type of sandstone. The tower was built around 1225 and was restored in various periods, including the restoration by Viollet-le-Duc and Assinare in the 19th century. The tower's current state includes structural and superficial deterioration, such as plaque alterations and granular disintegration. Restoration efforts have targeted these deteriorations, with treatments including the consolidation of pulverulent or weakened stones with Paraloid B 72 and lime mortar flashings to prevent water penetration. Recent evaluations have also explored the use of ethyl silicates for consolidation."
North Nave Facade,"The material used for the North Nave Facade is gray Molasse de Lausanne, with approximately 30% of it dating back to the first third of the 13th century. The current age of the North Nave Facade is over 700 years. The facade has experienced various forms of deterioration, including patchy deterioration, granular disintegration, and crusting, which are common in the soft sandstones of the molasse of the Swiss Plateau. 

Restoration efforts on the North Nave Facade have been ongoing since the late 20th century. The restoration work began with the north chevet tower in 1968-1974, followed by various conservation and restoration projects on different parts of the cathedral, such as the painted portal, ambulatory frames, lantern tower superstructures, and the south transept crossing. Different types of deterioration were targeted during these restoration campaigns, including the consolidation of weakened stones with Paraloid B72 and lime mortar flashings to prevent water penetration behind thick slabs. These efforts aimed to stabilize the facade and prevent substantial material loss."
South Aisle Flying Buttress,"The material used for the South Aisle Flying Buttress is Aquitanian molasse of Lausanne. The current age of the South Aisle Flying Buttress is not explicitly mentioned in the provided context. The current state of the buttress includes various types of deterioration such as granular disintegration, exfoliation, and crusts. Restoration efforts have targeted these deteriorations, along with biological colonization and gaps/cracks in the pointing mortar. The restoration process involved surface treatments, consolidation of deteriorated elements, and preservation of ancient surfaces by allowing controlled deterioration. Materials used for restoration included consolidation treatments like B72 and specific techniques for addressing different forms of deterioration. The restoration work was carried out over different time periods, with efforts by Viollet-le-Duc and his successor Assinare in the late 19th century, and more recent interventions from 1995 to 1998 under the direction of Christophe Amsler."
North Aisle Flying Buttress,"The material used for the North Aisle Flying Buttress is Aquitanian molasse of Lausanne. The current age of the North Aisle Flying Buttress is not explicitly mentioned in the provided context. The current state of the North Aisle Flying Buttress includes structural deterioration such as patches and superficial deterioration such as patinas, black crusts, and crumbling. The restoration efforts for the North Aisle Flying Buttress targeted the consolidation of pulverulent or weakened stones with Paraloid B72 and lime mortar flashings to support and prevent water penetration behind thick slabs. The stone consolidation was carried out in a less significant and more appropriate manner, stabilizing the facades without significant material loss. The restoration work on the North Aisle Flying Buttress used WACKER OH 100 as a reinforcer for the degraded soft sandstone of the exterior surfaces."
East Apse Flying Buttress,"The material used for the East Apse Flying Buttress of Lausanne Cathedral is the Aquitanian molasse of Lausanne. The current age of the East Apse Flying Buttress is not explicitly mentioned in the provided context. The current state of the buttress includes various types of deterioration such as structural alterations like patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have been ongoing, with different campaigns targeting specific deteriorations. For example, restoration work on the north chevet tower was conducted from 1968 to 1974, followed by the conservation of the interior polychromies of the painted portal in 1972, and the consolidation of the ambulatory frames in 1981. Various materials have been used for restoration, including IMPERPLEX, PARALOID B72, and WACKER OH 100 for consolidation. The restoration efforts have aimed to address different types of deterioration observed on the East Apse Flying Buttress over time."
West MonFalcon Portal Buttress,The material used for the West MonFalcon Portal Buttress is the Aquitanian molasse of Lausanne. The current age of the buttress is not specified in the provided context. The current state of the buttress includes patchy deterioration characterized by the detachment of patches parallel to the exposed surface of the stone. This deterioration is considered degrading weathering and can lead to significant material losses over time. Restoration efforts have focused on preserving these ancient surfaces by allowing the slabs to deteriorate slowly. The restoration process targeted the conservation of the plaques affected by patchy deterioration. The restoration materials used for these efforts are not explicitly mentioned in the provided context.
South Belfry Tower,"The material used for the South Belfry Tower was molasse, which was later replaced with Morley stone during the restoration efforts. The South Belfry Tower was built around the turn of the century and has undergone restoration work due to its deteriorating state, particularly its molasse facing. The restoration efforts included the replacement of the molasse with Morley stone, which is more resistant and less expensive. The restoration targeted deteriorations such as plaque alterations, granular disintegration, exfoliation, and black, greyish, or brownish crusts on the exterior facades. The restoration campaigns took place in different time periods, with the most recent one focusing on protecting the polychrome statuary and recutting the flying buttresses. Various consolidation methods were used, including IMPERPLEX, PARALOID B72, and WACKER OH 100 for the degraded soft sandstone surfaces of the cathedral."
East Crossing Tower,"The material used for the East Crossing Tower of Lausanne Cathedral is gray Molasse de Lausanne. The tower dates back to the 13th century. The current state of the tower shows signs of deterioration typical for Molasse stone, such as granular disintegration, exfoliation, and crusting. Restoration efforts have been ongoing over the years, with various campaigns targeting different types of deterioration. The restoration work has included the conservation of the interior polychromies, consolidation of ambulatory frames, restoration of lantern tower superstructures, and protection of polychrome statuary. Different materials, such as resins like epoxy, have been used for consolidation purposes. The restoration campaigns have aimed to preserve as many existing stones as possible and have targeted both structural and superficial alterations on the facades of the East Crossing Tower."
North Crossing Tower,"The material used for the North Crossing Tower is gray molasse from Lausanne. The tower was built around 1170. Currently, the tower's stone surface is fairly stable and not very powdery, with a more consolidated surface layer of about 1 mm. The restoration efforts on the North Tower facades addressed two types of deterioration: the consolidation of pulverulent or weakened stones with Paraloid B 72 and the lime mortar flashings to support and prevent water from penetrating behind the thick slabs. The stone consolidation was carried out in a less significant and more appropriate manner, stabilizing the state of the facades over the last three years. The restoration targeted structural deterioration such as patches and superficial deterioration such as patinas, black crusts, and crumbling. The materials used for consolidation included IMPERPLEX, PARALOID B72, and ethyl silicates like WACKER OH 100."
South Crossing Tower,"The material used for the South Crossing Tower is Alemannic sandstones, specifically Krauchtal stone and hard sandstone of Neuhaus-Schmerikon for the molded parts. The tower was built during the restoration campaign from 1968 to 1974. The current state of the tower includes various types of deterioration such as structural alterations like patches and superficial deterioration like patinas, black crusts, and crumbling. The restoration efforts have targeted the conservation of as much existing material as possible, with a focus on the molasse ashlar. The materials used for consolidation included IMPERPLEX, PARALOID B72, and WACKER OH 100. The restoration work on the South Crossing Tower has been ongoing, with a focus on addressing the severe patchy alterations and other forms of deterioration observed on the exterior façades of the nave."
West Crossing Tower,"The material used for the West Crossing Tower is Alemannic sandstones, specifically Krauchtal stone and hard sandstone of Neuhaus-Schmerikon. The tower was built around 1170 when the Chapter took control of the building site. The current state of the tower includes various types of deterioration such as structural deterioration like patches and superficial deterioration like patinas, black crusts, and crumbling. Restoration efforts have been ongoing, with the first restoration work on the tower dating back to 1967-1971. The restoration efforts have focused on conserving as many existing stones as possible and have involved joint composition analysis, investigation into causes of deterioration, and testing of various resins like epoxy for consolidation. More recent efforts have included the preference for WACKER OH 100 as a reinforcer for the degraded soft sandstone of the exterior surfaces."
West Unfinished Tower Tower,"The material used for the West Unfinished Tower of Lausanne Cathedral is gray molasse from Lausanne. The tower was built by the Master of Lausanne, with the upper part constructed after the fire of 1235. The tower exhibits various types of deterioration, including erosion, missing parts, holes, chromatic alteration, black crust, deposits, ice, molds, plants, and lichens. Restoration efforts have focused on preserving ancient surfaces by allowing slabs to continue deteriorating, with limitations based on structural concerns. Different types of alterations, such as plaque alterations, granular disintegration, exfoliation, and crusts, have been targeted for treatment based on their severity and impact on functionality. Various techniques and treatment products have been used to address these deteriorations, with a focus on preserving as many existing stones as possible. The restoration efforts have involved collaboration with scientists and the use of specific materials like Krauchtal stone and Neuhaus-Schmerikon hard sandstone for certain architectural elements."
West Unfinished Tower Buttress,"The West Unfinished Tower Buttress is primarily constructed using molasse, a type of sandstone known as gray molasse from Lausanne. The tower was built around 1225, with some restoration work done in the 1950s. The current state of the tower shows visible alterations such as blackening in areas exposed to rain, moss growth, and significant deterioration of the molasse compared to limestone parts. The restoration efforts have focused on addressing structural and superficial deterioration, including patches, patinas, black crusts, and crumbling. Various consolidation methods have been used, with a preference for WACKER OH 100 as a reinforcer for the degraded soft sandstone surfaces. The restoration projects have aimed to replace deteriorated molasse with stronger and more resistant materials, harmonizing with the original color, to ensure the long-term preservation of the tower."
North Unfinished Tower Buttress,"The material used for the North Unfinished Tower Buttress is gray molasse from Lausanne. The construction of the buttress began around 1225, making it approximately 800 years old. The current state of the buttress shows various types of deterioration, including erosion, missing parts, black crusts, chromatic alterations, deposits, and biological colonization such as mosses and lichens. Restoration efforts have targeted different types of deterioration over time. For example, consolidation of pulverulent or weakened stones with Paraloid B 72 and lime mortar flashings were used to support and prevent water penetration behind thick slabs. The restoration work aimed to stabilize the facades and prevent substantial material loss. The treatment materials used included Paraloid B 72 and lime mortar, with concentrations and application methods varying based on the specific deterioration being addressed."
Unfinished Tower Tower,"The Unfinished Tower of Lausanne Cathedral is built of local sandstone known as gray molasse from Lausanne. The tower was constructed before the fire of 1235, with traces of reddening visible on the north gable and roof. The current state of the tower shows various types of deterioration, including erosion, missing parts, holes, chromatic alteration, black crust, deposits, ice, molds, plants, and lichens. Restoration efforts have targeted the consolidation of weakened stones with Paraloid B72 and lime mortar flashings to prevent water penetration. The restoration work on the North Tower facades addressed deterioration through stone consolidation and flashings, stabilizing the facades over the years. The restoration efforts aimed to conserve as many existing stones as possible and reduce the risk of treatment failure. The restoration work involved scientific support to better understand the characteristics of the stone and adapt treatments accordingly."
North Unfinished Tower Tower,"The North Unfinished Tower of Lausanne Cathedral is constructed using gray molasse from Lausanne, a local sandstone. The tower was likely built around 1225 and has been exposed for more than 700 years. The current state of the tower shows various types of deterioration, including erosion, missing parts, black crusts, chromatic alterations, deposits, mosses, lichens, and other pathologies. Restoration efforts have been ongoing over the years, with different campaigns targeting specific deteriorations. The restoration work has included the consolidation of weakened stones with Paraloid B72, lime mortar flashings, and other treatments to stabilize the surfaces. The restoration campaigns have focused on preserving as many existing stones as possible and addressing both structural and superficial alterations to ensure the longevity of the tower."
Narthex,"The material used for the Narthex is gray Molasse de Lausanne, which has been exposed for more than 700 years. The current age of the Narthex is not explicitly mentioned in the provided context. The exterior facades of the Narthex are highly exposed to rainwater, runoff, and wind, leading to rapid deterioration of the gray Molasse de Lausanne. The main types of deterioration observed on the Molasse de Lausanne include structural deterioration such as patches, granular disintegration, and crusting. Restoration efforts have focused on the in situ conservation of as much existing material as possible, with a particular emphasis on the sculpted elements and the molasse ashlar. The restoration campaign aims to conserve the medieval and more recent elements of the Narthex. The restoration efforts have involved refining intervention protocols and making recommendations for the consolidation, sealing, and cleaning of the stone. Various consolidation products, sealing products, and cleaning methods have been tested and evaluated for their effectiveness on the gray Molasse de Lausanne. The restoration efforts target specific deteriorations such as patches, granular disintegration, and crusting on the exterior facades of the Narthex."
